,Unnamed: 0,join_code,chris_byrd,davy_ray,heidi_st_john,jaime_herrera_beutler,joe_kent,leslie_l_french,marie_gluesenkamp_perez,oliver_black,vicki_kraft,write_in,total_votes,winner_name,pct_chris_byrd,pct_davy_ray,pct_heidi_st_john,pct_jaime_herrera_beutler,pct_joe_kent,pct_leslie_l_french,pct_marie_gluesenkamp_perez,pct_oliver_black,pct_vicki_kraft,pct_write_in,margin_of_victory
597,597,Skamania303,4,6,37,59,61,2,47,1,10,0,227,joe_kent,1.76,2.64,16.3,25.99,26.87,0.88,20.7,0.44,4.41,0.0,26.87
598,598,Skamania304,5,3,26,26,42,0,21,0,6,0,129,joe_kent,3.88,2.33,20.16,20.16,32.56,0.0,16.28,0.0,4.65,0.0,32.56
599,599,Skamania305,1,6,24,47,47,1,39,1,7,1,174,tie,0.57,3.45,13.79,27.01,27.01,0.57,22.41,0.57,4.02,0.57,0.0
600,600,Skamania307,1,4,20,46,32,1,37,0,5,0,146,jaime_herrera_beutler,0.68,2.74,13.7,31.51,21.92,0.68,25.34,0.0,3.42,0.0,31.51
601,601,Skamania309,2,3,21,45,51,1,46,0,3,0,172,joe_kent,1.16,1.74,12.21,26.16,29.65,0.58,26.74,0.0,1.74,0.0,29.65
602,602,Skamania310,6,9,41,49,36,2,92,0,7,1,243,marie_gluesenkamp_perez,2.47,3.7,16.87,20.16,14.81,0.82,37.86,0.0,2.88,0.41,37.86
603,603,Skamania311,6,10,17,33,22,1,105,1,6,0,201,marie_gluesenkamp_perez,2.99,4.98,8.46,16.42,10.95,0.5,52.24,0.5,2.99,0.0,52.24
604,604,Thurston125,9,20,61,87,188,9,129,1,33,0,537,joe_kent,1.68,3.72,11.36,16.2,35.01,1.68,24.02,0.19,6.15,0.0,35.01
605,605,Thurston127,5,2,13,32,89,1,30,3,8,0,183,joe_kent,2.73,1.09,7.1,17.49,48.63,0.55,16.39,1.64,4.37,0.0,48.63
606,606,Thurston128,7,7,21,27,65,2,46,0,4,0,179,joe_kent,3.91,3.91,11.73,15.08,36.31,1.12,25.7,0.0,2.23,0.0,36.31
607,607,Thurston130,5,5,12,18,74,0,24,0,2,0,140,joe_kent,3.57,3.57,8.57,12.86,52.86,0.0,17.14,0.0,1.43,0.0,52.86
608,608,Thurston148,5,2,33,62,71,0,46,2,8,0,229,joe_kent,2.18,0.87,14.41,27.07,31.0,0.0,20.09,0.87,3.49,0.0,31.0
609,609,Thurston153,13,16,56,75,117,10,119,1,29,0,436,marie_gluesenkamp_perez,2.98,3.67,12.84,17.2,26.83,2.29,27.29,0.23,6.65,0.0,27.29
610,610,Thurston154,7,5,30,53,75,4,54,0,10,0,238,joe_kent,2.94,2.1,12.61,22.27,31.51,1.68,22.69,0.0,4.2,0.0,31.51
611,611,Thurston156,1,3,5,18,30,0,14,0,6,0,77,joe_kent,1.3,3.9,6.49,23.38,38.96,0.0,18.18,0.0,7.79,0.0,38.96
612,612,Thurston157,2,2,7,10,32,0,4,0,0,0,57,joe_kent,3.51,3.51,12.28,17.54,56.14,0.0,7.02,0.0,0.0,0.0,56.14
613,613,Thurston158,14,14,54,63,89,1,75,0,11,0,321,joe_kent,4.36,4.36,16.82,19.63,27.73,0.31,23.36,0.0,3.43,0.0,27.73
614,614,Thurston170,9,10,56,75,126,2,87,0,16,0,381,joe_kent,2.36,2.62,14.7,19.69,33.07,0.52,22.83,0.0,4.2,0.0,33.07
615,615,Thurston179,6,19,39,75,150,9,100,1,32,2,433,joe_kent,1.39,4.39,9.01,17.32,34.64,2.08,23.09,0.23,7.39,0.46,34.64
616,616,Thurston19,3,2,13,18,47,1,44,0,9,0,137,joe_kent,2.19,1.46,9.49,13.14,34.31,0.73,32.12,0.0,6.57,0.0,34.31
617,617,Thurston198,7,14,65,72,137,9,93,1,17,0,415,joe_kent,1.69,3.37,15.66,17.35,33.01,2.17,22.41,0.24,4.1,0.0,33.01
618,618,Thurston20,3,6,33,48,70,3,52,1,11,0,227,joe_kent,1.32,2.64,14.54,21.15,30.84,1.32,22.91,0.44,4.85,0.0,30.84
619,619,Thurston27,6,9,24,48,75,1,69,0,11,0,243,joe_kent,2.47,3.7,9.88,19.75,30.86,0.41,28.4,0.0,4.53,0.0,30.86
620,620,Thurston28,1,3,11,9,39,2,20,0,5,0,90,joe_kent,1.11,3.33,12.22,10.0,43.33,2.22,22.22,0.0,5.56,0.0,43.33
621,621,Thurston30,9,7,23,62,43,3,86,0,18,0,251,marie_gluesenkamp_perez,3.59,2.79,9.16,24.7,17.13,1.2,34.26,0.0,7.17,0.0,34.26
622,622,Thurston31,0,2,14,11,62,2,26,0,2,0,119,joe_kent,0.0,1.68,11.76,9.24,52.1,1.68,21.85,0.0,1.68,0.0,52.1
623,623,Thurston32,10,10,52,64,149,4,96,0,34,3,422,joe_kent,2.37,2.37,12.32,15.17,35.31,0.95,22.75,0.0,8.06,0.71,35.31
624,624,Thurston46,9,23,51,79,151,1,108,2,19,0,443,joe_kent,2.03,5.19,11.51,17.83,34.09,0.23,24.38,0.45,4.29,0.0,34.09
625,625,Thurston48,7,5,36,73,113,0,87,0,11,0,332,joe_kent,2.11,1.51,10.84,21.99,34.04,0.0,26.2,0.0,3.31,0.0,34.04
626,626,Thurston501,7,12,23,39,53,1,66,0,10,0,211,marie_gluesenkamp_perez,3.32,5.69,10.9,18.48,25.12,0.47,31.28,0.0,4.74,0.0,31.28
627,627,Thurston502,3,9,25,47,36,6,82,2,12,0,222,marie_gluesenkamp_perez,1.35,4.05,11.26,21.17,16.22,2.7,36.94,0.9,5.41,0.0,36.94
628,628,Thurston52,7,5,53,75,81,4,62,1,11,0,299,joe_kent,2.34,1.67,17.73,25.08,27.09,1.34,20.74,0.33,3.68,0.0,27.09
629,629,Thurston53,8,14,43,56,168,5,79,0,19,0,392,joe_kent,2.04,3.57,10.97,14.29,42.86,1.28,20.15,0.0,4.85,0.0,42.86
630,630,Thurston54,14,11,60,106,87,2,67,2,20,1,370,jaime_herrera_beutler,3.78,2.97,16.22,28.65,23.51,0.54,18.11,0.54,5.41,0.27,28.65
631,631,Thurston55,11,12,50,67,85,3,59,0,18,0,305,joe_kent,3.61,3.93,16.39,21.97,27.87,0.98,19.34,0.0,5.9,0.0,27.87
632,632,Thurston60,11,11,47,68,153,7,93,0,21,0,411,joe_kent,2.68,2.68,11.44,16.55,37.23,1.7,22.63,0.0,5.11,0.0,37.23
633,633,Thurston601,7,8,22,38,119,5,81,0,13,0,293,joe_kent,2.39,2.73,7.51,12.97,40.61,1.71,27.65,0.0,4.44,0.0,40.61
634,634,Thurston602,6,8,45,47,76,2,63,0,12,0,259,joe_kent,2.32,3.09,17.37,18.15,29.34,0.77,24.32,0.0,4.63,0.0,29.34
635,635,Thurston77,0,1,18,14,23,0,7,0,3,0,66,joe_kent,0.0,1.52,27.27,21.21,34.85,0.0,10.61,0.0,4.55,0.0,34.85
636,636,Thurston801,4,6,11,13,45,2,18,0,2,0,101,joe_kent,3.96,5.94,10.89,12.87,44.55,1.98,17.82,0.0,1.98,0.0,44.55
637,637,Wahkiakum1,1,2,44,24,26,0,20,3,0,0,120,heidi_st_john,0.83,1.67,36.67,20.0,21.67,0.0,16.67,2.5,0.0,0.0,36.67
638,638,Wahkiakum10,5,9,22,40,24,1,32,0,4,1,138,jaime_herrera_beutler,3.62,6.52,15.94,28.99,17.39,0.72,23.19,0.0,2.9,0.72,28.99
639,639,Wahkiakum11,3,1,7,19,17,0,32,0,0,0,79,marie_gluesenkamp_perez,3.8,1.27,8.86,24.05,21.52,0.0,40.51,0.0,0.0,0.0,40.51
640,640,Wahkiakum2,1,1,36,25,25,0,25,0,1,0,114,heidi_st_john,0.88,0.88,31.58,21.93,21.93,0.0,21.93,0.0,0.88,0.0,31.58
641,641,Wahkiakum3,3,7,48,46,22,1,35,0,0,0,162,heidi_st_john,1.85,4.32,29.63,28.4,13.58,0.62,21.6,0.0,0.0,0.0,29.63
642,642,Wahkiakum4,2,0,43,47,39,3,36,0,1,0,171,jaime_herrera_beutler,1.17,0.0,25.15,27.49,22.81,1.75,21.05,0.0,0.58,0.0,27.49
643,643,Wahkiakum5,1,0,103,71,79,0,56,0,2,0,312,heidi_st_john,0.32,0.0,33.01,22.76,25.32,0.0,17.95,0.0,0.64,0.0,33.01
644,644,Wahkiakum6,3,3,38,39,33,0,24,0,3,0,143,jaime_herrera_beutler,2.1,2.1,26.57,27.27,23.08,0.0,16.78,0.0,2.1,0.0,27.27
645,645,Wahkiakum7,7,7,66,58,52,0,56,0,3,0,249,heidi_st_john,2.81,2.81,26.51,23.29,20.88,0.0,22.49,0.0,1.2,0.0,26.51
646,646,Wahkiakum8,4,6,26,49,43,0,52,0,2,0,182,marie_gluesenkamp_perez,2.2,3.3,14.29,26.92,23.63,0.0,28.57,0.0,1.1,0.0,28.57
647,647,Wahkiakum9,5,9,54,101,63,1,66,0,3,0,302,jaime_herrera_beutler,1.66,2.98,17.88,33.44,20.86,0.33,21.85,0.0,0.99,0.0,33.44
