,Unnamed: 0,join_code,chris_byrd,davy_ray,heidi_st_john,jaime_herrera_beutler,joe_kent,leslie_l_french,marie_gluesenkamp_perez,oliver_black,vicki_kraft,write_in,total_votes,winner_name,pct_chris_byrd,pct_davy_ray,pct_heidi_st_john,pct_jaime_herrera_beutler,pct_joe_kent,pct_leslie_l_french,pct_marie_gluesenkamp_perez,pct_oliver_black,pct_vicki_kraft,pct_write_in,margin_of_victory
564,564,Pacific22,6,4,35,73,82,1,96,0,7,0,304,marie_gluesenkamp_perez,1.97,1.32,11.51,24.01,26.97,0.33,31.58,0.0,2.3,0.0,31.58
565,565,Pacific23,1,0,16,6,9,0,16,1,1,0,50,tie,2.0,0.0,32.0,12.0,18.0,0.0,32.0,2.0,2.0,0.0,0.0
566,566,Pacific24,2,2,18,13,7,0,21,0,1,0,64,marie_gluesenkamp_perez,3.12,3.12,28.12,20.31,10.94,0.0,32.81,0.0,1.56,0.0,32.81
567,567,Pacific25,7,12,23,100,57,0,150,1,3,0,353,marie_gluesenkamp_perez,1.98,3.4,6.52,28.33,16.15,0.0,42.49,0.28,0.85,0.0,42.49
568,568,Pacific26,1,2,8,8,7,0,5,0,0,0,31,tie,3.23,6.45,25.81,25.81,22.58,0.0,16.13,0.0,0.0,0.0,0.0
569,569,Pacific27,2,2,19,19,15,0,17,0,1,0,75,tie,2.67,2.67,25.33,25.33,20.0,0.0,22.67,0.0,1.33,0.0,0.0
570,570,Pacific28,0,0,23,13,8,0,7,1,1,0,53,heidi_st_john,0.0,0.0,43.4,24.53,15.09,0.0,13.21,1.89,1.89,0.0,43.4
571,571,Pacific29,0,0,2,1,2,0,2,0,0,0,7,tie,0.0,0.0,28.57,14.29,28.57,0.0,28.57,0.0,0.0,0.0,0.0
572,572,Pacific3,2,8,31,87,61,1,78,0,1,0,269,jaime_herrera_beutler,0.74,2.97,11.52,32.34,22.68,0.37,29.0,0.0,0.37,0.0,32.34
573,573,Pacific30,0,0,3,1,3,0,0,0,0,0,7,tie,0.0,0.0,42.86,14.29,42.86,0.0,0.0,0.0,0.0,0.0,0.0
574,574,Pacific32,3,3,20,25,22,1,21,0,0,0,95,jaime_herrera_beutler,3.16,3.16,21.05,26.32,23.16,1.05,22.11,0.0,0.0,0.0,26.32
575,575,Pacific34,13,12,105,78,79,1,100,0,3,0,391,heidi_st_john,3.32,3.07,26.85,19.95,20.2,0.26,25.58,0.0,0.77,0.0,26.85
576,576,Pacific4,7,2,15,21,13,0,21,0,0,0,79,tie,8.86,2.53,18.99,26.58,16.46,0.0,26.58,0.0,0.0,0.0,0.0
577,577,Pacific6,0,0,0,0,0,0,0,0,0,0,0,tie,,,,,,,,,,,0.0
578,578,Pacific7,0,0,0,0,0,0,0,0,0,0,0,tie,,,,,,,,,,,0.0
579,579,Pacific8,2,2,8,30,7,0,21,0,0,0,70,jaime_herrera_beutler,2.86,2.86,11.43,42.86,10.0,0.0,30.0,0.0,0.0,0.0,42.86
580,580,Pacific9,13,24,42,104,104,6,147,0,12,0,452,marie_gluesenkamp_perez,2.88,5.31,9.29,23.01,23.01,1.33,32.52,0.0,2.65,0.0,32.52
581,581,Skamania100,2,2,52,29,117,1,43,0,11,0,257,joe_kent,0.78,0.78,20.23,11.28,45.53,0.39,16.73,0.0,4.28,0.0,45.53
582,582,Skamania101,2,1,18,45,34,2,50,0,8,0,160,marie_gluesenkamp_perez,1.25,0.62,11.25,28.12,21.25,1.25,31.25,0.0,5.0,0.0,31.25
583,583,Skamania102,4,5,31,41,77,1,55,0,3,0,217,joe_kent,1.84,2.3,14.29,18.89,35.48,0.46,25.35,0.0,1.38,0.0,35.48
584,584,Skamania103,3,4,47,33,68,0,51,2,2,0,210,joe_kent,1.43,1.9,22.38,15.71,32.38,0.0,24.29,0.95,0.95,0.0,32.38
585,585,Skamania104,1,1,4,5,10,1,3,0,0,0,25,joe_kent,4.0,4.0,16.0,20.0,40.0,4.0,12.0,0.0,0.0,0.0,40.0
586,586,Skamania105,4,1,45,46,85,0,64,1,12,0,258,joe_kent,1.55,0.39,17.44,17.83,32.95,0.0,24.81,0.39,4.65,0.0,32.95
587,587,Skamania106,4,5,38,39,86,1,86,1,8,0,268,tie,1.49,1.87,14.18,14.55,32.09,0.37,32.09,0.37,2.99,0.0,0.0
588,588,Skamania201,1,0,2,6,4,0,3,0,0,0,16,jaime_herrera_beutler,6.25,0.0,12.5,37.5,25.0,0.0,18.75,0.0,0.0,0.0,37.5
589,589,Skamania202,3,8,70,70,98,8,98,0,14,0,369,tie,0.81,2.17,18.97,18.97,26.56,2.17,26.56,0.0,3.79,0.0,0.0
590,590,Skamania203,3,2,22,44,47,1,59,1,5,0,184,marie_gluesenkamp_perez,1.63,1.09,11.96,23.91,25.54,0.54,32.07,0.54,2.72,0.0,32.07
591,591,Skamania204,8,10,38,88,72,3,138,0,14,2,373,marie_gluesenkamp_perez,2.14,2.68,10.19,23.59,19.3,0.8,37.0,0.0,3.75,0.54,37.0
592,592,Skamania205,6,6,18,49,42,1,108,0,7,0,237,marie_gluesenkamp_perez,2.53,2.53,7.59,20.68,17.72,0.42,45.57,0.0,2.95,0.0,45.57
593,593,Skamania206,2,1,6,20,14,2,33,0,4,0,82,marie_gluesenkamp_perez,2.44,1.22,7.32,24.39,17.07,2.44,40.24,0.0,4.88,0.0,40.24
594,594,Skamania207,8,1,13,27,35,0,43,0,2,0,129,marie_gluesenkamp_perez,6.2,0.78,10.08,20.93,27.13,0.0,33.33,0.0,1.55,0.0,33.33
595,595,Skamania208,9,9,48,66,107,3,60,0,9,0,311,joe_kent,2.89,2.89,15.43,21.22,34.41,0.96,19.29,0.0,2.89,0.0,34.41
596,596,Skamania300,7,7,33,67,131,4,73,0,13,0,335,joe_kent,2.09,2.09,9.85,20.0,39.1,1.19,21.79,0.0,3.88,0.0,39.1
